row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large,,,,,,
59,59,6,,1,21518,Randomized,(cold start),,1,45,145,2.410000086,72.60899973,0,0.003999949,1.565000057,0.60483871,0.805555556,0.533333333,79,79,0.282540984,1.5,80,69,2.101449275,3412,1.310344828,49,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,46,145,1.18599987,73.7949996,0,0.003999949,0.21600008,0.60483871,0.805555556,0.533333333,79,79,0.282540984,1.5,80,69,2.101449275,3412,1.310344828,49,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,47,145,4.298000097,78.0929997,0,0.003999949,3.570999861,0.60483871,0.805555556,0.533333333,79,79,0.282540984,1.5,80,69,2.101449275,3412,1.310344828,49,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,48,145,1.161000013,79.25399971,0,0.003000021,0.255000114,0.60483871,0.805555556,0.533333333,79,79,0.282540984,1.5,80,69,2.101449275,3412,1.310344828,49,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,49,145,1.563999891,80.8179996,0,0.004999876,0.697999954,0.60483871,0.805555556,0.533333333,79,79,0.282540984,1.5,80,69,2.101449275,3412,1.310344828,49,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,50,145,1.602999926,82.42099953,0,0.003000021,0.299000025,0.60483871,0.805555556,0.533333333,79,79,0.282540984,1.5,80,69,2.101449275,3412,1.310344828,49,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0
,59,6,,1,21518,Randomized,(cold start),,1,51,145,1.602999926,399,0,0.003000021,0.299000025,0.60483871,0.805555556,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,1,41,25.5539999,25.5539999,0,8.723999977,5.003000021,0.139784946,0.227777778,0.138888889,25,25,0.04057377,1,11,11,3.727272727,424,1.073170732,21,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,2,77,12.28999996,37.84399986,0,6.117000103,5.001999855,0.271505376,0.427777778,0.263888889,41,41,0.089344262,1,24,24,3.208333333,956,1.038961039,29,3,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,3,103,11.94400001,49.78799987,0,5.69900012,5.004000187,0.36827957,0.572222222,0.361111111,57,57,0.124590164,1,34,33,3.121212121,1352,1.038834951,40,4,9,2,0,0,0,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,4,129,12.17599988,61.96399975,0,5.784999847,5.023000002,0.467741935,0.716666667,0.455555556,72,72,0.163934426,1,45,43,3,1760,1.131782946,51,5,10,3,0,1,0,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,5,145,11.63899994,73.60299969,0,5.754999876,5.002000093,0.540322581,0.805555556,0.516666667,82,82,0.204508197,1,56,51,2.843137255,2236,1.131034483,57,8,10,4,0,1,0,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,6,164,12.00699997,85.60999966,0,5.727999926,5.002000093,0.610215054,0.911111111,0.583333333,87,87,0.228688525,1,63,59,2.779661017,2492,1.18902439,57,9,12,4,1,2,0,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,7,192,10.1329999,95.74299955,0,5.88499999,3.412999868,0.717741935,1.066666667,0.677777778,94,94,0.233606557,1,75,66,2.909090909,3104,1.119791667,57,9,15,6,2,3,0,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,8,199,12.05800009,107.8009996,0,5.774000168,5.002000093,0.747311828,1.105555556,0.7,95,95,0.248360656,1,79,68,2.926470588,3288,1.135678392,58,8,15,5,3,3,1,0,1,0,1,0,0,0,0,0,0
